max_date,date,state,cases,deaths,fracpos
2020-04-01,2020-03-04,New York,6,0,0.701298701298701
2020-04-01,2020-03-05,New York,16,0,0.701298701298701
2020-04-01,2020-03-06,New York,11,0,0.1315625
2020-04-01,2020-03-07,New York,43,0,0.158643657281259
2020-04-01,2020-03-08,New York,29,0,0.138277693474962
2020-04-01,2020-03-09,New York,37,0,0.172947387584198
2020-04-01,2020-03-10,New York,31,0,0.235914515681377
2020-04-01,2020-03-11,New York,43,0,0.163184215934781
2020-04-01,2020-03-12,New York,0,0,0.186504723346829
2020-04-01,2020-03-13,New York,205,0,0.218998422468991
2020-04-01,2020-03-14,New York,103,0,0.227820444915254
2020-04-01,2020-03-15,New York,205,3,0.246468407558016
2020-04-01,2020-03-16,New York,221,4,0.26596834502894
2020-04-01,2020-03-17,New York,750,0,0.280361615185201
2020-04-01,2020-03-18,New York,682,5,0.296839576026508
2020-04-01,2020-03-19,New York,1770,0,0.304131498571382
2020-04-01,2020-03-20,New York,2950,23,0.305400666918767
2020-04-01,2020-03-21,New York,3254,9,0.339786818913929
2020-04-01,2020-03-22,New York,4812,70,0.348929650946131
2020-04-01,2020-03-23,New York,5707,0,0.362966069891168
2020-04-01,2020-03-24,New York,4790,96,0.37480031848888
2020-04-01,2020-03-25,New York,5146,75,0.383818340088172
2020-04-01,2020-03-26,New York,6447,100,0.401122263424374
2020-04-01,2020-03-27,New York,7377,134,0.41434124145805
2020-04-01,2020-03-28,New York,7683,209,0.42438115560085
2020-04-01,2020-03-29,New York,7195,237,0.434798690250464
2020-04-01,2020-03-30,New York,6984,253,0.445322077020932
2020-04-01,2020-03-31,New York,9298,332,0.450733280105742
2020-04-01,2020-04-01,New York,7917,391,0.451473804507764
2020-04-03,2020-03-04,New York,6,0,0.701298701298701
2020-04-03,2020-03-05,New York,16,0,0.701298701298701
2020-04-03,2020-03-06,New York,11,0,0.1315625
2020-04-03,2020-03-07,New York,43,0,0.158643657281259
2020-04-03,2020-03-08,New York,29,0,0.138277693474962
2020-04-03,2020-03-09,New York,37,0,0.172947387584198
2020-04-03,2020-03-10,New York,31,0,0.235914515681377
2020-04-03,2020-03-11,New York,43,0,0.163184215934781
2020-04-03,2020-03-12,New York,0,0,0.186504723346829
2020-04-03,2020-03-13,New York,205,0,0.218998422468991
2020-04-03,2020-03-14,New York,103,0,0.227820444915254
2020-04-03,2020-03-15,New York,205,3,0.246468407558016
2020-04-03,2020-03-16,New York,221,4,0.26596834502894
2020-04-03,2020-03-17,New York,750,0,0.280361615185201
2020-04-03,2020-03-18,New York,682,5,0.296839576026508
2020-04-03,2020-03-19,New York,1770,0,0.304131498571382
2020-04-03,2020-03-20,New York,2950,23,0.305400666918767
2020-04-03,2020-03-21,New York,3254,9,0.339786818913929
2020-04-03,2020-03-22,New York,4812,70,0.348929650946131
