date,state,cases,deaths,fracpos
2020-03-05,Maryland,0,0,0.11320754716981132
2020-03-06,Maryland,3,0,0.15315315315315314
2020-03-07,Maryland,0,0,0.21666666666666667
2020-03-08,Maryland,0,0,0.24800000000000003
2020-03-09,Maryland,2,0,0.2824427480916031
2020-03-10,Maryland,1,0,0.3774834437086093
2020-03-11,Maryland,3,0,0.47486033519553067
2020-03-12,Maryland,3,0,0.5323383084577115
2020-03-13,Maryland,5,0,0.6592920353982301
2020-03-14,Maryland,9,0,0.7333333333333334
2020-03-15,Maryland,5,0,0.8197278911564625
2020-03-16,Maryland,6,0,0.8715596330275229
2020-03-17,Maryland,20,0,0.9
2020-03-18,Maryland,28,0,0.9
2020-03-19,Maryland,22,1,0.9
2020-03-20,Maryland,42,0,0.9
2020-03-21,Maryland,41,1,0.07864806001451964
2020-03-22,Maryland,54,1,0.09003191568321828
2020-03-23,Maryland,44,0,0.09463160777869077
2020-03-24,Maryland,61,0,0.09898152100994084
2020-03-25,Maryland,74,1,0.1011171133371794
2020-03-26,Maryland,157,0,0.10673890314608876
2020-03-27,Maryland,194,1,0.11286133935033418
2020-03-28,Maryland,218,0,0.11731777506208854
2020-03-29,Maryland,247,5,0.12187644815171284
2020-03-30,Maryland,174,5,0.1298200075139178
2020-03-31,Maryland,247,3,0.13067690830532885
2020-04-01,Maryland,325,13,0.13624766564086377
2020-04-02,Maryland,346,5,0.14049546474202673
2020-04-03,Maryland,427,6,0.14593137478868734
2020-04-04,Maryland,367,11,0.149234418805262
2020-04-05,Maryland,484,14,0.19414322525230837
2020-04-06,Maryland,436,24,0.20171392630641016
2020-04-07,Maryland,326,12,0.2066198338631935
2020-04-08,Maryland,1158,21,0.21338090990187333
2020-04-09,Maryland,656,14,0.2220567823343849
2020-04-10,Maryland,783,33,0.2265617338432873
2020-04-11,Maryland,726,35,0.22912667946257198
2020-04-12,Maryland,531,29,0.22953572526666827
2020-04-13,Maryland,711,27,0.23397584765443566
2020-04-14,Maryland,536,40,0.23054205097914487
2020-04-15,Maryland,560,111,0.23170460113135272
2020-04-16,Maryland,752,46,0.24516067054133242
2020-04-17,Maryland,788,35,0.24153101627804663
2020-04-18,Maryland,736,40,0.2417011751538892
2020-04-19,Maryland,522,14,0.22026422805349302
2020-04-20,Maryland,854,34,0.2039773962182134
2020-04-21,Maryland,509,70,0.19946818003355107
2020-04-22,Maryland,582,46,0.19891251136443108
2020-04-23,Maryland,962,50,0.19984299269574712
2020-04-24,Maryland,879,50,0.20418410041841004
2020-04-25,Maryland,1150,77,0.20312376993686335
2020-04-26,Maryland,815,35,0.195093735168486
2020-04-27,Maryland,906,35,0.1964864551979625
2020-04-28,Maryland,626,71,0.19551422000989727
2020-04-29,Maryland,736,62,0.19850235162055785
2020-04-30,Maryland,893,62,0.20256413814155486
2020-05-01,Maryland,1730,52,0.20458612509883892
2020-05-02,Maryland,1001,59,0.20919340363473188
2020-05-03,Maryland,989,30,0.209312507061349
2020-05-04,Maryland,946,36,0.21716215224253102
2020-05-05,Maryland,709,73,0.22585894276814356
2020-05-06,Maryland,1046,47,0.2234264086701424
2020-05-07,Maryland,1211,66,0.22293965198074786
2020-05-08,Maryland,1111,57,0.22264740677990857
2020-05-09,Maryland,1049,54,0.2095039889004509
2020-05-10,Maryland,1053,30,0.20648665782951992
2020-05-11,Maryland,786,39,0.20811503085341715
2020-05-12,Maryland,688,73,0.21123871453888338
2020-05-13,Maryland,751,53,0.20213487178805484
2020-05-14,Maryland,1091,57,0.20162422429514176
2020-05-15,Maryland,1083,45,0.1897808378098913
2020-05-16,Maryland,982,46,0.1872972298477664
2020-05-17,Maryland,836,35,0.17524367396305168
2020-05-18,Maryland,958,31,0.1624723914061977
2020-05-19,Maryland,1784,58,0.15956391362992856
2020-05-20,Maryland,777,42,0.1551776298729363
2020-05-21,Maryland,1208,36,0.14708147387543935
2020-05-22,Maryland,893,48,0.14222544878563886
2020-05-23,Maryland,1071,36,0.13525017998560115
2020-05-24,Maryland,818,34,0.13258016579234777
2020-05-25,Maryland,839,25,0.12761414361533865
2020-05-26,Maryland,535,31,0.1260880595578651
2020-05-27,Maryland,736,59,0.1178551097921741
2020-05-28,Maryland,1286,36,0.11794795243071106
2020-05-29,Maryland,1279,38,0.111359879475215
2020-05-30,Maryland,1027,43,0.11091647424157974
2020-05-31,Maryland,763,23,0.10396703717899579
2020-03-06,Iowa,0,0,0.16161616161616163
2020-03-07,Iowa,0,0,0.17
2020-03-08,Iowa,0,0,0.17821782178217824
2020-03-09,Iowa,3,0,0.20952380952380953
2020-03-10,Iowa,5,0,0.2169811320754717
2020-03-11,Iowa,5,0,0.25892857142857145
2020-03-12,Iowa,1,0,0.3140495867768595
2020-03-13,Iowa,2,0,0.06550218340611354
2020-03-14,Iowa,1,0,0.0617059891107078
2020-03-15,Iowa,1,0,0.06976744186046512
2020-03-16,Iowa,4,0,0.04922644163150493
2020-03-17,Iowa,1,0,0.05020746887966805
2020-03-18,Iowa,6,0,0.051062243756988444
2020-03-19,Iowa,9,0,0.06152705707931801
2020-03-20,Iowa,7,0,0.056753980482794036
2020-03-21,Iowa,23,0,0.06165282028858767
2020-03-22,Iowa,22,0,0.06077348066298342
2020-03-23,Iowa,15,0,0.06260601387818042
2020-03-24,Iowa,19,0,0.06524725274725275
2020-03-25,Iowa,21,1,0.06789725054859946
2020-03-26,Iowa,34,0,0.06837307152875176
2020-03-27,Iowa,56,2,0.07083154736390913
2020-03-28,Iowa,63,0,0.07756725635925887
2020-03-29,Iowa,38,1,0.08227067050596464
2020-03-30,Iowa,88,2,0.0831552360598407
2020-03-31,Iowa,73,1,0.0892147587511826
2020-04-01,Iowa,52,2,0.08857465081981435
2020-04-02,Iowa,65,2,0.09183673469387756
2020-04-03,Iowa,85,0,0.09161867232494694
2020-04-04,Iowa,87,3,0.09690658964809608
2020-04-05,Iowa,82,8,0.09977552442139485
2020-04-06,Iowa,78,3,0.1029444819060463
2020-04-07,Iowa,102,1,0.11992844946743637
2020-04-08,Iowa,97,1,0.1199935917975008
2020-04-09,Iowa,125,2,0.12416159725471847
2020-04-10,Iowa,118,2,0.13090521182566292
2020-04-11,Iowa,122,3,0.13443011708907662
2020-04-12,Iowa,77,7,0.14786862334032144
2020-04-13,Iowa,123,2,0.15294745977702115
2020-04-14,Iowa,189,6,0.16826923076923075
2020-04-15,Iowa,96,4,0.17390184207136417
