max_date,date,state,cases,deaths,fracpos
2020-04-01,2020-03-04,New York,6,0,0.7012987012987013
2020-04-01,2020-03-05,New York,16,0,0.7012987012987013
2020-04-01,2020-03-06,New York,11,0,0.1315625
2020-04-01,2020-03-07,New York,43,0,0.15864365728125945
2020-04-01,2020-03-08,New York,29,0,0.13827769347496208
2020-04-01,2020-03-09,New York,37,0,0.1729473875841981
2020-04-01,2020-03-10,New York,31,0,0.23591451568137667
2020-04-01,2020-03-11,New York,43,0,0.16318421593478113
2020-04-01,2020-03-12,New York,0,0,0.1865047233468286
2020-04-01,2020-03-13,New York,205,0,0.21899842246899068
2020-04-01,2020-03-14,New York,103,0,0.22782044491525424
2020-04-01,2020-03-15,New York,205,3,0.2464684075580161
2020-04-01,2020-03-16,New York,221,4,0.26596834502894023
2020-04-01,2020-03-17,New York,750,0,0.2803616151852015
2020-04-01,2020-03-18,New York,682,5,0.296839576026508
2020-04-01,2020-03-19,New York,1770,0,0.30413149857138166
2020-04-01,2020-03-20,New York,2950,23,0.30540066691876655
2020-04-01,2020-03-21,New York,3254,9,0.3397868189139288
2020-04-01,2020-03-22,New York,4812,70,0.3489296509461306
2020-04-01,2020-03-23,New York,5707,0,0.3629660698911676
2020-04-01,2020-03-24,New York,4790,96,0.37480031848888046
2020-04-01,2020-03-25,New York,5146,75,0.38381834008817167
2020-04-01,2020-03-26,New York,6447,100,0.40112226342437424
2020-04-01,2020-03-27,New York,7377,134,0.41434124145805
2020-04-01,2020-03-28,New York,7683,209,0.4243811556008504
2020-04-01,2020-03-29,New York,7195,237,0.43479869025046436
2020-04-01,2020-03-30,New York,6984,253,0.44532207702093207
2020-04-01,2020-03-31,New York,9298,332,0.4507332801057421
2020-04-01,2020-04-01,New York,7917,391,0.4514738045077643
2020-04-02,2020-03-04,New York,6,0,0.7012987012987013
2020-04-02,2020-03-05,New York,16,0,0.7012987012987013
2020-04-02,2020-03-06,New York,11,0,0.1315625
2020-04-02,2020-03-07,New York,43,0,0.15864365728125945
2020-04-02,2020-03-08,New York,29,0,0.13827769347496208
2020-04-02,2020-03-09,New York,37,0,0.1729473875841981
2020-04-02,2020-03-10,New York,31,0,0.23591451568137667
2020-04-02,2020-03-11,New York,43,0,0.16318421593478113
2020-04-02,2020-03-12,New York,0,0,0.1865047233468286
2020-04-02,2020-03-13,New York,205,0,0.21899842246899068
2020-04-02,2020-03-14,New York,103,0,0.22782044491525424
2020-04-02,2020-03-15,New York,205,3,0.2464684075580161
2020-04-02,2020-03-16,New York,221,4,0.26596834502894023
2020-04-02,2020-03-17,New York,750,0,0.2803616151852015
2020-04-02,2020-03-18,New York,682,5,0.296839576026508
2020-04-02,2020-03-19,New York,1770,0,0.30413149857138166
2020-04-02,2020-03-20,New York,2950,23,0.30540066691876655
2020-04-02,2020-03-21,New York,3254,9,0.3397868189139288
2020-04-02,2020-03-22,New York,4812,70,0.3489296509461306
2020-04-02,2020-03-23,New York,5707,0,0.3629660698911676
2020-04-02,2020-03-24,New York,4790,96,0.37480031848888046
2020-04-02,2020-03-25,New York,5146,75,0.38381834008817167
2020-04-02,2020-03-26,New York,6447,100,0.40112226342437424
2020-04-02,2020-03-27,New York,7377,134,0.41434124145805
2020-04-02,2020-03-28,New York,7683,209,0.4243811556008504
2020-04-02,2020-03-29,New York,7195,237,0.43479869025046436
2020-04-02,2020-03-30,New York,6984,253,0.44532207702093207
2020-04-02,2020-03-31,New York,9298,332,0.4507332801057421
2020-04-02,2020-04-01,New York,7917,391,0.4514738045077643
2020-04-02,2020-04-02,New York,8669,432,0.4482452181761377
2020-04-03,2020-03-04,New York,6,0,0.7012987012987013
2020-04-03,2020-03-05,New York,16,0,0.7012987012987013
2020-04-03,2020-03-06,New York,11,0,0.1315625
2020-04-03,2020-03-07,New York,43,0,0.15864365728125945
2020-04-03,2020-03-08,New York,29,0,0.13827769347496208
2020-04-03,2020-03-09,New York,37,0,0.1729473875841981
2020-04-03,2020-03-10,New York,31,0,0.23591451568137667
2020-04-03,2020-03-11,New York,43,0,0.16318421593478113
2020-04-03,2020-03-12,New York,0,0,0.1865047233468286
2020-04-03,2020-03-13,New York,205,0,0.21899842246899068
2020-04-03,2020-03-14,New York,103,0,0.22782044491525424
2020-04-03,2020-03-15,New York,205,3,0.2464684075580161
2020-04-03,2020-03-16,New York,221,4,0.26596834502894023
2020-04-03,2020-03-17,New York,750,0,0.2803616151852015
2020-04-03,2020-03-18,New York,682,5,0.296839576026508
2020-04-03,2020-03-19,New York,1770,0,0.30413149857138166
2020-04-03,2020-03-20,New York,2950,23,0.30540066691876655
2020-04-03,2020-03-21,New York,3254,9,0.3397868189139288
2020-04-03,2020-03-22,New York,4812,70,0.3489296509461306
2020-04-03,2020-03-23,New York,5707,0,0.3629660698911676
2020-04-03,2020-03-24,New York,4790,96,0.37480031848888046
2020-04-03,2020-03-25,New York,5146,75,0.38381834008817167
2020-04-03,2020-03-26,New York,6447,100,0.40112226342437424
2020-04-03,2020-03-27,New York,7377,134,0.41434124145805
2020-04-03,2020-03-28,New York,7683,209,0.4243811556008504
2020-04-03,2020-03-29,New York,7195,237,0.43479869025046436
2020-04-03,2020-03-30,New York,6984,253,0.44532207702093207
2020-04-03,2020-03-31,New York,9298,332,0.4507332801057421
2020-04-03,2020-04-01,New York,7917,391,0.4514738045077643
2020-04-03,2020-04-02,New York,8669,432,0.4482452181761377
2020-04-03,2020-04-03,New York,10482,562,0.45051575320930015
2020-04-04,2020-03-04,New York,6,0,0.7012987012987013
2020-04-04,2020-03-05,New York,16,0,0.7012987012987013
2020-04-04,2020-03-06,New York,11,0,0.1315625
2020-04-04,2020-03-07,New York,43,0,0.15864365728125945
2020-04-04,2020-03-08,New York,29,0,0.13827769347496208
2020-04-04,2020-03-09,New York,37,0,0.1729473875841981
2020-04-04,2020-03-10,New York,31,0,0.23591451568137667
2020-04-04,2020-03-11,New York,43,0,0.16318421593478113
2020-04-04,2020-03-12,New York,0,0,0.1865047233468286
2020-04-04,2020-03-13,New York,205,0,0.21899842246899068
2020-04-04,2020-03-14,New York,103,0,0.22782044491525424
2020-04-04,2020-03-15,New York,205,3,0.2464684075580161
2020-04-04,2020-03-16,New York,221,4,0.26596834502894023
2020-04-04,2020-03-17,New York,750,0,0.2803616151852015
2020-04-04,2020-03-18,New York,682,5,0.296839576026508
2020-04-04,2020-03-19,New York,1770,0,0.30413149857138166
2020-04-04,2020-03-20,New York,2950,23,0.30540066691876655
2020-04-04,2020-03-21,New York,3254,9,0.3397868189139288
2020-04-04,2020-03-22,New York,4812,70,0.3489296509461306
2020-04-04,2020-03-23,New York,5707,0,0.3629660698911676
2020-04-04,2020-03-24,New York,4790,96,0.37480031848888046
2020-04-04,2020-03-25,New York,5146,75,0.38381834008817167
2020-04-04,2020-03-26,New York,6447,100,0.40112226342437424
2020-04-04,2020-03-27,New York,7377,134,0.41434124145805
2020-04-04,2020-03-28,New York,7683,209,0.4243811556008504
2020-04-04,2020-03-29,New York,7195,237,0.43479869025046436
2020-04-04,2020-03-30,New York,6984,253,0.44532207702093207
2020-04-04,2020-03-31,New York,9298,332,0.4507332801057421
2020-04-04,2020-04-01,New York,7917,391,0.4514738045077643
2020-04-04,2020-04-02,New York,8669,432,0.4482452181761377
2020-04-04,2020-04-03,New York,10482,562,0.45051575320930015
2020-04-04,2020-04-04,New York,10841,630,0.46006293462318826
2020-04-05,2020-03-04,New York,6,0,0.7012987012987013
2020-04-05,2020-03-05,New York,16,0,0.7012987012987013
2020-04-05,2020-03-06,New York,11,0,0.1315625
2020-04-05,2020-03-07,New York,43,0,0.15864365728125945
2020-04-05,2020-03-08,New York,29,0,0.13827769347496208
2020-04-05,2020-03-09,New York,37,0,0.1729473875841981
2020-04-05,2020-03-10,New York,31,0,0.23591451568137667
2020-04-05,2020-03-11,New York,43,0,0.16318421593478113
2020-04-05,2020-03-12,New York,0,0,0.1865047233468286
2020-04-05,2020-03-13,New York,205,0,0.21899842246899068
2020-04-05,2020-03-14,New York,103,0,0.22782044491525424
2020-04-05,2020-03-15,New York,205,3,0.2464684075580161
2020-04-05,2020-03-16,New York,221,4,0.26596834502894023
2020-04-05,2020-03-17,New York,750,0,0.2803616151852015
2020-04-05,2020-03-18,New York,682,5,0.296839576026508
2020-04-05,2020-03-19,New York,1770,0,0.30413149857138166
2020-04-05,2020-03-20,New York,2950,23,0.30540066691876655
2020-04-05,2020-03-21,New York,3254,9,0.3397868189139288
