date,state,cases,deaths,fracpos
2020-03-06,Kansas,0,0,0.06060606060606061
2020-03-07,Kansas,0,0,0.0606060606060606
2020-03-08,Kansas,1,0,0.055944055944055944
2020-03-09,Kansas,0,0,0.062146892655367235
2020-03-10,Kansas,0,0,0.03778337531486146
2020-03-11,Kansas,0,0,0.03695150115473442
2020-03-12,Kansas,3,0,0.0753880266075388
2020-03-13,Kansas,2,0,0.09544468546637742
2020-03-14,Kansas,0,1,0.11752136752136752
2020-03-15,Kansas,2,0,0.13617021276595745
2020-03-16,Kansas,3,0,0.16632443531827515
2020-03-17,Kansas,4,0,0.04465930018416206
2020-03-18,Kansas,1,0,0.05064829821717991
2020-03-19,Kansas,18,0,0.05575959933222037
2020-03-20,Kansas,10,0,0.05847607796810396
2020-03-21,Kansas,11,1,0.06652752413253327
2020-03-22,Kansas,9,0,0.07091073855913005
2020-03-23,Kansas,18,0,0.07532956685499058
2020-03-24,Kansas,16,0,0.07947398513436249
2020-03-25,Kansas,28,1,0.08497088791848617
2020-03-26,Kansas,42,0,0.08675946908384591
2020-03-27,Kansas,34,1,0.08847954099350748
2020-03-28,Kansas,59,1,0.09189265139806099
2020-03-29,Kansas,58,1,0.08927880273513095
2020-03-30,Kansas,49,2,0.09078228524933164
2020-03-31,Kansas,60,1,0.09073765945646145
2020-04-01,Kansas,54,1,0.11851481435179398
2020-04-02,Kansas,70,3,0.11822897816383157
2020-04-03,Kansas,68,4,0.11913572878118657
2020-04-04,Kansas,78,4,0.11961400359066426
2020-04-05,Kansas,49,1,0.11543825769767192
2020-04-06,Kansas,98,3,0.11303603892631804
2020-04-07,Kansas,55,2,0.11468834688346884
2020-04-08,Kansas,146,11,0.11531804413673734
2020-04-09,Kansas,60,4,0.10812396128653828
2020-04-10,Kansas,60,8,0.11205053449951408
2020-04-11,Kansas,102,5,0.11035653650254669
2020-04-12,Kansas,69,1,0.10907884761182714
2020-04-13,Kansas,39,6,0.11757449231353198
2020-04-14,Kansas,50,7,0.11779974044124988
2020-04-15,Kansas,68,7,0.12264945270839181
2020-04-16,Kansas,94,4,0.12896273013022003
2020-04-17,Kansas,117,4,0.13041442285179114
2020-04-18,Kansas,85,2,0.13710554951033732
2020-04-19,Kansas,59,6,0.1372803226735811
2020-04-20,Kansas,137,8,0.1430932873364956
2020-04-21,Kansas,39,7,0.1486714466469844
2020-04-22,Kansas,186,3,0.15100254718829598
2020-04-23,Kansas,271,2,0.16181153437905413
2020-04-24,Kansas,295,0,0.16916982024597918
2020-04-25,Kansas,279,5,0.16856050108087134
2020-04-26,Kansas,118,1,0.16961574704219454
2020-04-27,Kansas,154,2,0.1658770087432228
2020-04-28,Kansas,163,4,0.16276780272842342
2020-04-29,Kansas,247,1,0.16116977360622256
2020-04-30,Kansas,500,4,0.1597546610341606
2020-05-01,Kansas,211,1,0.15229253505115575
2020-05-02,Kansas,297,1,0.1508445625355855
2020-05-03,Kansas,284,3,0.14253277667911812
2020-05-04,Kansas,215,2,0.14138153647514526
2020-05-05,Kansas,213,1,0.14059832232202507
2020-05-06,Kansas,276,7,0.13464012458527996
2020-05-07,Kansas,410,3,0.13241036563720268
2020-05-08,Kansas,357,5,0.12173796969899219
2020-05-09,Kansas,250,5,0.12035156523566076
2020-05-10,Kansas,197,0,0.11782363977485928
2020-05-11,Kansas,168,1,0.10955911558321196
2020-05-12,Kansas,0,0,0.10902878077993448
2020-05-13,Kansas,352,6,0.09903249654463052
2020-05-14,Kansas,0,0,0.09642820310082849
2020-05-15,Kansas,418,8,0.08901682905225863
2020-05-16,Kansas,0,0,0.0855322704170438
2020-05-17,Kansas,0,0,0.08327987623108561
2020-05-18,Kansas,454,1,0.07856302346507926
2020-05-19,Kansas,0,0,0.0770245511176255
2020-05-20,Kansas,199,5,0.07310971394713453
2020-05-21,Kansas,0,0,0.06958302308265077
2020-05-22,Kansas,419,7,0.06031456820556791
2020-05-23,Kansas,0,0,0.054950984800791434
2020-05-24,Kansas,0,0,0.054950984800791434
2020-05-25,Kansas,260,3,0.06315195102380457
2020-05-26,Kansas,0,0,0.04600517592643577
2020-05-27,Kansas,119,17,0.04456566738913377
2020-05-28,Kansas,0,0,0.04426051560379919
2020-05-29,Kansas,382,3,0.04367491166077738
2020-05-30,Kansas,0,0,0.038555576452886965
2020-05-31,Kansas,0,0,0.038555576452886965
2020-06-01,Kansas,292,9,0.03928032501450958
2020-06-02,Kansas,0,0,0.037575439517187094
2020-06-03,Kansas,159,5,0.03764494721677727
2020-06-04,Kansas,0,0,0.03757578845467977
2020-06-05,Kansas,223,10,0.03757578845467978
2020-06-06,Kansas,0,0,0.037960615427360817
2020-06-07,Kansas,0,0,0.037960615427360817
2020-06-08,Kansas,257,4,0.037960615427360817
2020-06-09,Kansas,0,0,0.028104277042910773
2020-06-10,Kansas,162,4,0.039207048458149776
2020-06-11,Kansas,0,0,0.040920390082223215
