date,state,cases,deaths,fracpos,volume
2020-01-22,Washington,2,0,0.9,2
2020-01-23,Washington,0,0,0.9,0
2020-01-24,Washington,0,0,0.9,0
2020-01-25,Washington,0,0,0.9,0
2020-01-26,Washington,0,0,0.9,0
2020-01-27,Washington,0,0,0.9,0
2020-01-28,Washington,0,0,0.9,0
2020-01-29,Washington,1,0,0.9,1
2020-01-30,Washington,0,0,0.9,0
2020-01-31,Washington,0,0,0.9,0
2020-02-01,Washington,1,0,0.9,1
2020-02-02,Washington,2,0,0.9,2
2020-02-03,Washington,1,0,0.9,1
2020-02-04,Washington,1,0,0.9,1
2020-02-05,Washington,0,0,0.9,0
2020-02-06,Washington,3,0,0.9,3
2020-02-07,Washington,1,0,0.9,1
2020-02-08,Washington,1,0,0.9,1
2020-02-09,Washington,0,0,0.9,0
2020-02-10,Washington,3,0,0.9,3
2020-02-11,Washington,1,0,0.9,1
2020-02-12,Washington,1,0,0.9,1
2020-02-13,Washington,0,0,0.9,0
2020-02-14,Washington,3,0,0.9,3
2020-02-15,Washington,7,0,0.9,7
2020-02-16,Washington,7,0,0.9,7
2020-02-17,Washington,15,0,0.9,15
2020-02-18,Washington,9,0,0.9,9
2020-02-19,Washington,10,0,0.9,10
2020-02-20,Washington,13,0,0.9,13
2020-02-21,Washington,11,0,0.9,11
2020-02-22,Washington,13,0,0.9,13
2020-02-23,Washington,16,0,0.9,16
2020-02-24,Washington,26,0,0.8329749103942652,26
2020-02-25,Washington,31,0,0.6692345679012346,31
2020-02-26,Washington,29,2,0.580900109769484,29
2020-02-27,Washington,27,0,0.48998149616706316,27
2020-02-28,Washington,40,2,0.3957463263727765,40
2020-02-29,Washington,24,1,0.36124763705103974,41
2020-03-01,Washington,78,3,0.3408479309469408,0
2020-03-02,Washington,73,3,0.28636947349110253,184
2020-03-03,Washington,84,3,0.22589020771513352,225
2020-03-04,Washington,92,2,0.181821359902115,245
2020-03-05,Washington,105,4,0.14070227932764234,360
2020-03-06,Washington,82,6,0.11886962106615286,476
2020-03-07,Washington,99,1,0.11544506038038711,403
2020-03-08,Washington,153,4,0.11669657046188547,523
2020-03-09,Washington,172,4,0.11187607573149742,1024
2020-03-10,Washington,216,2,0.10334072636540062,1784
2020-03-11,Washington,212,3,0.09816906895208416,2267
2020-03-12,Washington,256,4,0.09342817708886295,3764
2020-03-13,Washington,297,3,0.09232182130168934,4234
2020-03-14,Washington,266,4,0.09305552343731932,2329
2020-03-15,Washington,254,6,0.09410212842067608,1689
2020-03-16,Washington,369,12,0.09095499717217419,4895
2020-03-17,Washington,325,9,0.08724469847889632,4638
2020-03-18,Washington,378,4,0.08564302525731549,4740
2020-03-19,Washington,336,10,0.08513984240251615,4550
2020-03-20,Washington,405,12,0.0862992600529012,4061
2020-03-21,Washington,286,7,0.08913788058725322,2342
2020-03-22,Washington,284,15,0.09080808957555768,1888
2020-03-23,Washington,447,11,0.08813414993613468,5303
2020-03-24,Washington,355,9,0.08745503227820031,5227
2020-03-25,Washington,406,13,0.0891954852680622,5007
2020-03-26,Washington,371,24,0.08819920488195931,4471
2020-03-27,Washington,376,16,0.08691617692545624,4360
2020-03-28,Washington,321,21,0.08637879293097699,2601
2020-03-29,Washington,318,17,0.08585333109582145,1833
2020-03-30,Washington,405,11,0.08213183105764028,5150
2020-03-31,Washington,311,14,0.07932891466445734,4706
2020-04-01,Washington,438,20,0.07872828475642034,4717
2020-04-02,Washington,332,28,0.07769305645684621,4907
2020-04-03,Washington,284,28,0.07638120648142123,4854
2020-04-04,Washington,247,27,0.07652406055690728,2614
2020-04-05,Washington,221,21,0.07546454304133485,1952
2020-04-06,Washington,329,21,0.07225045942947965,5136
2020-04-07,Washington,265,22,0.07023169912693084,5229
2020-04-08,Washington,284,14,0.07098305084745762,4804
2020-04-09,Washington,287,16,0.06827446231515752,4306
2020-04-10,Washington,277,17,0.06829276677667767,4299
2020-04-11,Washington,210,18,0.07058019003743161,2076
2020-04-12,Washington,170,15,0.07049111310428145,1431
2020-04-13,Washington,304,17,0.0689890830076927,4220
2020-04-14,Washington,224,16,0.06860492045677231,4309
2020-04-15,Washington,316,9,0.0691873915558126,4146
2020-04-16,Washington,253,20,0.06921001786300171,4348
2020-04-17,Washington,302,14,0.06768928921787211,4452
2020-04-18,Washington,233,13,0.06782043558427807,2246
2020-04-19,Washington,176,17,0.0676774536977551,1677
2020-04-20,Washington,307,14,0.06517665262614974,4388
2020-04-21,Washington,243,11,0.06272347028266882,4202
2020-04-22,Washington,242,7,0.062414449303909464,4424
2020-04-23,Washington,253,7,0.06084891659246067,4338
2020-04-24,Washington,285,5,0.061896342860884655,5509
2020-04-25,Washington,197,6,0.061540549251098337,3011
2020-04-26,Washington,182,73,0.06076541045866199,1778
2020-04-27,Washington,274,11,0.05846124081000902,5117
2020-04-28,Washington,232,16,0.05709273582648912,5347
